ABRAKONTE	Lasithi Crete
ΑΓ.ΒΑΣΙΛΕΙΟΣ ΜΑ	
ΑΓ.ΒΑΣΙΛΕΙΟΣ ΠΑ	Agios Vasileios Patra
ΑΓ.ΒΑΣΙΛΕΙΟΣ ΠΕΔΙΑΔΟΣ	Agios Vasileios Iraklio
ΑΓ.ΒΑΣΙΛΕΙΟΣ ΡΕ	Agios Vasileios Rethimno
ΑΓ.ΒΗΣΣΑΡΙΟΣ	Agios Vissarios Karditsa
ΑΓ.ΒΗΣΣΑΡΙΩΝ	Agios Vissarion Trikala
ΑΓ.ΒΗΣΣΑΡΙΩΝΑΣ	
ΑΓ.ΒΗΣΣΑΡΙΩΝΟΣ	
ΑΓ.ΓΕΡΜΑ	
ΑΓ.ΓΕΡΜΑΝΟΣ	Agios Germanos Florina
ΑΓ.ΓΕΩΡΓ. ΦΕΡΡΩΝ	Agios Georgios Feron
ΑΓ.ΓΕΩΡΓ.ΝΗΛΕΙΑΣ	Agios Georgios Nileias
ΑΓ.ΓΕΩΡΓΙΟΣ	Agios Georgios Kerkira
ΑΓ.ΓΕΏΡΓΙΟΣ	Agios Georgios Kerkira
ΑΓ.ΓΕΩΡΓΙΟΣ ΒΟΙ	Agios Georgios Viotia
ΑΓ.ΓΕΩΡΓΙΟΣ ΒΟΙΩΝ	Agios Georgios Voia
ΑΓ.ΓΕΩΡΓΙΟΣ ΔΟΜ	Agios Georgios Domokos
ΑΓ.ΓΕΩΡΓΙΟΣ ΙΣΤΙΑΙΑΣ	Agios Georgios Istiea
ΑΓ.ΓΕΩΡΓΙΟΣ ΚΑΡ	Agios Georgios Karditsa
ΑΓ.ΓΕΩΡΓΙΟΣ ΚΙΣ	Agios Georgios Kimolos
ΑΓ.ΓΕΩΡΓΙΟΣ ΛΙΧΑΔΑΣ	Agios Georgios Lichada
ΑΓ.ΓΕΩΡΓΙΟΣ ΝΗΛ	Agios Georgios Nileias
ΑΓ.ΓΕΩΡΓΙΟΣ ΦΕΡ	Agios Georgios Feron
ΑΓ.ΓΙΑΝΝΗΣ	Agios Ioannis Mouresi
ΑΓ.ΔΕΚΑ	Agioi Deka Heraklion
ΑΓ.ΔΗΜΗΤ.ΠΕΡΙΒΛ.	
ΑΓ.ΔΗΜΗΤΡΙΟΣ ΒΟ	Agios Dimitrios Viotia
ΑΓ.ΔΗΜΗΤΡΙΟΣ ΖΑΡΑΚΟΣ	Agios Dimitrios Zarakos Lakonia
ΑΓ.ΔΗΜΗΤΡΙΟΣ ΚΑ	Agios Dimitrios Karditsa
ΑΓ.ΔΗΜΗΤΡΙΟΣ ΚΙΣΣΟΥ	Άγιος Δημήτριος Mouresi
ΑΓ.ΔΗΜΗΤΡΙΟΣ ΝΑ	
ΑΓ.ΔΗΜΗΤΡΙΟΥ	
ΑΓ.ΕΛΕΝΗ	Agia Eleni Serres
ΑΓ.ΕΥΘΥΜΙΑ	Agia Efthymia Delphi
ΑΓ.ΕΥΣΤΡΑΤΙΟΣ	Agios Efstratios Lemnos
ΑΓ.ΕΥΦΗΜΙΑ	Agia Effimia Cephalonia
ΑΓ.ΗΛΙΑ ΛΕΤΡΙΝΩΝ	Agios Ilias Ilida
ΑΓ.ΗΛΙΑΣ ΟΛΥΜΠΙ	Agios Ilias Ilia
ΑΓ.ΘΕΚΛΗ	Agia Thekli Kefallonia
ΑΓ.ΘΕΟΔΩΡΟΙ	Agioi Theodoroi Corinthia
ΑΓ.ΘΕΟΔΩΡΟΣ	Agios Theodoros Karditsa
ΑΓ.ΙΣΙΔΩΡΟΣ	Agios Isidoros Lesvos
ΑΓ.ΙΩΑΝΝΗΣ	Agios Ioannis Kerkira
ΑΓ.ΙΩΑΝΝΗΣ ΑΜΑΡ	Άγιος Ιωάννης Kifisia
ΑΓ.ΙΩΑΝΝΗΣ ΓΟΡΤ	Agios Ioannis Archeas Ireas
ΑΓ.ΙΩΑΝΝΗΣ ΘΕΟΛΟΓΟΣ	Agios Ioannis Theologos
ΑΓ.ΙΩΑΝΝΗΣ ΚΟΡΙ	Agios Ioannis Korinthia
ΑΓ.ΙΩΑΝΝΗΣ ΜΟΝΕ	Agios Ioannis Monemvasia
ΑΓ.ΙΩΑΝΝΗΣ ΜΥΛΟ	Agios Ioannis Mylopotamos
ΑΓ.ΙΩΑΝΝΗΣ ΡΕΘΥ	Agios Ioannis Rethimno
ΑΓ.ΙΩΑΝΝΗΣ ΣΠΑ.	Agios Ioannis Spata Loutsa
ΑΓ.ΙΩΑΝΝΗΣ ΣΠΑΡΤΗΣ	Agios Ioannis Sparta
ΑΓ.ΚΟΣΜΑΣ	Agios Kosmas
ΑΓ.ΚΩΝ/ΝΟΣ	Agios Konstantinos Lavreotiki
ΑΓ.ΚΩΝ/ΝΟΣ ΑΙΓΙ	Agiou Konstantinou Egina
ΑΓ.ΚΩΝ/ΝΟΣ ΜΑΝΤ	Agios Konstantinos Vilia
ΑΓ.ΚΩΝ/ΝΟΣ ΡΕΘΥ	Agios Konstantinos Rethymno
ΑΓ.ΚΩΝ/ΝΟΣ ΦΘΙΩ	Agios Konstantinos Phthiotis
ΑΓ.ΚΩΝΣΤΑΝΤΙΝΟΣ	Agios Konstantinos Samos
ΑΓ.ΛΑΥΡΕΝΤΙΟΣ	Agios Lavrentios Volos
ΑΓ.ΛΟΥΚΑΣ	Agios Loukas Pella
ΑΓ.ΜΑΜΑΣ	Agios Mamas Moudania
ΑΓ.ΜΑΡΙΝΑ ΚΥΔΩΝ	Agia Marina Nea Kidonia
ΑΓ.ΜΑΡΙΝΑ ΛΟΚΡΙ	Agia Marina Tithorea
ΑΓ.ΜΑΡΚΟΣ	Agios Markos Kerkira
ΑΓ.ΜΑΡΤΙΝΟΣ	Agios Martinos Kerkira
ΑΓ.ΜΑΤΘΑΙΟΣ	Agios Mattheos Kerkira
ΑΓ.ΜΑΥΡΑ	Agia Mavra Elis
ΑΓ.ΜΗΝΑΣ	Agios Minas Ikaria
ΑΓ.ΝΙΚΗΤΑΣ	Agios Nikitas Lefkada
ΑΓ.ΝΙΚΟΛΑΟΣ	Agios Nikolaos Lasithi
ΑΓ.ΝΙΚΟΛΑΟΣ ΑΙΔΗΨΟΥ	Agios Nikolaos Istiea Edipsos
ΑΓ.ΝΙΚΟΛΑΟΣ ΑΡΓ	Agios Nikolaos Argiro Nero
ΑΓ.ΝΙΚΟΛΑΟΣ ΒΟΙΩΝ	Agios NikolaosVoia
ΑΓ.ΝΙΚΟΛΑΟΣ ΕΥΒ	Agios Nikolaos Evia
ΑΓ.ΝΙΚΟΛΑΟΣ ΕΥΡ	Agios Nikolaos Evritania
ΑΓ.ΝΙΚΟΛΑΟΣ ΗΛΕ	Agios Nikolaos Ilia
ΑΓ.ΝΙΚΟΛΑΟΣ ΚΑΛ	Agios Nikolaos Attica
ΑΓ.ΝΙΚΟΛΑΟΣ ΜΕΛΙΤΙΝΗΣ	
ΑΓ.ΝΙΚΟΛΑΟΣ ΠΑΤ	Agios Nikolaos Patra
ΑΓ.ΟΝΟΥΦΡΙΟΣ	Agios Onoufrios Magnisia
ΑΓ.ΠΑΝΤΕΛΕΗΜΩΝ	Agios Panteleimon Attica
ΑΓ.ΠΑΡΑΣΚΕΥΗ ΦΘ	Agia Paraskevi Fthiotida
ΑΓ.ΠΑΡΑΣΚΙΕΣ	Agies Paraskies Iraklio
ΑΓ.ΠΑΥΛΟΣ	Agios Pavlos Thessaloniki
ΑΓ.ΠΕΛΑΓΙΑ	Agia Pelagia Iraklio
ΑΓ.ΠΝΕΥΜ	Agio Pnevma Serres
ΑΓ.ΠΝΕΥΜΑ	Agio Pnevma Serres
ΑΓ.ΠΡΟΔΡΟΜΟΣ	Agios Prodromos Chalkidiki
ΑΓ.ΠΡΟΚΟΠΙΟΣ	Agios Prokopios Naxos
ΑΓ.ΣΟΦΙΑ	Agia Sofia Evia
ΑΓ.ΣΠΥΡΙΔΩΝ	Agios Spyridon Arta
ΑΓ.ΣΠΥΡΊΔΩΝ	Agios Spyridon Fokida
ΑΓ.ΣΠΥΡΙΔΩΝΑΣ	Agios Spyridonas Dion
ΑΓ.ΣΤΕΦΑΝΟΣ ΠΑΤ	Agios Stefanos Patra
ΑΓ.ΣΩΣΤΗΣ	Agios Sostis Messenia
ΑΓ.ΤΡΙΑΔΑ	Agia Triada Thessaloniki
ΑΓ.ΤΡΙΑΔΑ ΕΥΡΥΤ	Agia Triada Evritania
ΑΓ.ΤΡΙΑΔΑ ΙΩΛΚΟΥ	
ΑΓ.ΤΡΙΑΔΑ ΛΟΚΡΙ	Agia Triada Molos
ΑΓ.ΤΡΙΑΔΑ ΝΑΥΠΛ	Agia Triada Nafplio
ΑΓ.ΤΡΙΑΔΑ ΝΑΥΠΛΙΟΥ	Agia Triada Nafplio
ΑΓ.ΤΡΙΑΣ	Agia Trias Milies
ΑΓ.ΧΑΡΑΛ.	Agios Charalampos Loutraki-Perachora
ΑΓ.ΧΑΡΑΛΑΜΠΟΣ	Agios Charalampos Kozani
ΑΓ.ΧΑΡΑΛΑΜΠΟΣ Φ	Agios Charalampos Fthiotida
ΑΓΓΑΡΙΩΝΕΣ	Angariones Lemnos
ΑΓΓΕΙΕΣ ΔΟΜΟΚΟΥ	
ΑΓΓΕΛ/ΣΤΡΟΥ	Aggelokastrou Agios Dimitrios
ΑΓΓΙΔΙΑ	
ΑΓΓΙΣΤΑΣ	Aggista Serres
ΑΓΙΑ ΚΥΔΩΝΙΑΣ	Agia Marina Nea Kidonia
ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΛΟΚΡ.	
ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ-ΒΙΠΕ	
ΑΓΙΟΣ ΒΑΣΙΛΕΙΟΣ ΚΛΕΙΤΟΡΙΑΣ	
ΑΓΙΟΣ ΓΕΩΡ. ΦΕΡ.	Agios Georgios Feron
ΑΓΙΟΣ ΓΕΩΡΓ. ΝΗΛ	Agios Georgios Nileias
ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΝΗΛ	Agios Georgios Nileias
ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΚΙΣ.	
ΑΓΙΟΣ ΙΩΑΝΝΗΣ-ΜΕΝΕΤΤΕΣ	
ΑΓΙΟΣ ΚΩΝ/ΝΟΣ ΛΟΚΡΙΔΟΣ	
ΑΓΙΟΣ ΧΑΡΑΛΑΜΠΟΣ ΚΑΜ. ΒΟΥΡΛΩΝ	Agios Charalampos Molos
ΑΓΙΟΣ.ΣΠΥΡΙΔΩΝΑΣ	Agios Spyridonas
ΑΓΚΑΡΙΩΝΕΣ	Angariones
ΑΓΡΙΔΙΟΝ ΚΑΛΑΒΡ	Agridi Kalavryta
ΑΓΡΙΔΙΟΝ ΟΛΥΜΠΙ	
ΑΓΡΟΚΤΗΜΑ  ΧΡΥΣΑΣ	
ΑΔΕΛΦΙΚΟΝ	Adelfiko
ΑΕΤΟΠΕΤΡΑ ΖΙΤΣΑΣ	Aetopetra Zitsa
ΑΕΤΟΡΡΑΧΗ ΓΟΡΤΥ	
ΑΗ ΓΟΡΔΗΣ	
ΑΗΣ	
ΑΗΣ ΜΕΓΑΛΟΠΟΛΗΣ	
ΑΗΣ ΠΤΟΛΕΜΑΙΔΟΣ	
ΑΘ.ΔΙΑΚΟΣ	Athanasios Diakos
ΑΙΓΙΟΝ	Aigio
ΑΚΑΡΝΑΝΙΚΑ	
ΑΚΟΒΟ	Akovos
ΑΚΡΑΙΟ	Akreos
ΑΚΡΩΤΗΡΙΟΝ	Akrotiri
ΑΛΑΜΑΝΕΙΚΑ	Alamaneika
ΑΛΑΜΑΝΟ	
ΑΛΕΙΜΑΤΑΔΕΣ	
ΑΛΕΞ/ΠΟΛΗ	Alexandroupoli
ΑΛΕΞ/ΡΕΙΑ	Alexandria Imathia
ΑΛΕΞΙ	
ΑΛΕΠΟΧΩΡΙ ΜΠΟΤΣΑΡΗ	Alepochori Ioannina
ΑΛΕΠΟΧΩΡΙΟΝ ΜΑΝ	
ΑΛΙΑΚΜΩΝ	Aliakmonas Voio
ΑΛΩΡΟ	Aloros
ΑΜΑΡΙΟΝ	Amari
ΑΜΕΛΑΝΤΑΙ	Amelantes
ΑΜΜΩΠΗ ΜΕΝΕΤΤΕΣ	Paralia Ammopi Karpathos
ΑΜΟΥΡΙΟΝ ΦΘΙΩΤΙ	Amouri Fthiotida
ΑΜΠΕΛΙΚΟΝ	Ampeliko
ΑΜΠΕΛΙΩΝΑΣ	
ΑΜΠΕΛΟΚΗ	
ΑΜΥΓΔΑΛΕΑ ΓΟΡΤΥ	Migdalia Gortynia
ΑΜΥΓΔΑΛΕΑ ΦΩΚΙΔ	Amigdalia Fokida
ΑΜΥΝΤΑΙΟΝ	Aminteo
ΑΜΦΙΘΕΑ ΒΡΩΜΟΒΡΥΣΗ	
ΑΜΦΙΘΕΑ ΚΑΛΑΜΑΤΑΣ	
ΑΜΦΙΠΟΛΙΣ	Amfipoli
ΑΝ.ΦΡΑΓΚΙΣΤΑ	Anatoliki Fragkista
ΑΝ.ΧΕΡΣΟΝΗΣΟ	
ΑΝΑΒΡΥΤΟΝ	Anavryto
ΑΝΑΒΡΥΤΟΣ	Anavryto
ΑΝΑΛΥΨΗ ΜΑΚΡΥΓΥΑΛΟΥ	Analipsi
ΑΝΑΤ. ΠΑΠΑΡΟΥΣΙ	
ΑΝΑΤΟΛΙΚΟ ΠΑΠΑΡΟΥΣΙ	
ΑΝΑΤΟΛΙΚΟΝ	Anatoliko
ΑΝΔΡΟΝΙΑΝΟΙ	Androniani
ΑΝΔΡΩΝΙ	
ΑΝΕΜΟΡΆΧΗ	Anemorrachi
ΑΝΕΜΩΤΙΑ	Anemotia
ΑΝΗΛΙΟΝ	Anilio
ΑΝΘΗΡΟΝ	Anthiro
ΑΝΘΟΤΟΠΟ	Anthotopos
ΑΝΘΟΧΩΡΙ ΔΩΔΩΝΗΣ	Anthochori Dodoni
ΑΝΘΟΧΩΡΙ ΜΕΤΣΟΒΟΥ	Anthochori Metsovo
ΑΝΟΙΞΙΑΤΙΚΟΝ	Anixiatiko
ΑΝΤΑΡΤΙΚΟΝ	Antartiko
ΑΝΤΙΑ	
ΑΝΤΙΓΟΝΟ	
ΑΝΤΥΠΑΤΑ	Antipata
ΑΝΥΦΙΟΝ	Anifi
ΑΝΩ ΑΓ.ΙΩΑΝΝΗΣ	Ano Agios Ioannis
ΑΝΩ ΑΘΑΜΑΝΙΟ	
ΑΝΩ ΑΛΙΣΣΟΣ	
ΑΝΩ ΑΣΕΑ	
ΑΝΩ ΑΣΣΟΣ	
ΑΝΩ ΒΡΑΣΝΑ	
ΑΝΩ ΚΑΡΙΤΣΑ ΕΥΡΥΤΑΝΙΑΣ	
ΑΝΩ ΛΕΠΙΑΝΑ	
ΑΝΩ ΜΑΚΡΥΝΟΥ	
ΑΝΩ ΜΕΣΟΛΑΚΚΙΑ	
ΑΝΩ ΜΗΤΡΟΥΣΗ	
ΑΝΩ ΜΥΡΣΙΝΗ	
ΑΝΩ ΞΗΡΟΧΩΡΙ	
ΑΝΩ ΠΛΑΤΑΝΟΣ	
ΑΝΩ ΡΑΠΤΟΠΟΥΛΟ	
ΑΝΩ ΡΟΔΩΝΙΑ	
ΑΝΩ ΣΕΤΤΑ	
ΑΝΩ ΣΠΑΡΤΙΑ	
ΑΝΩ ΤΑΞΙΑΡΧΕΣ	
ΑΝΩ ΦΙΓΑΛΕΙΑ	
ΑΝΩ ΧΟΥΝΙ	
ΑΝΩ ΧΡΥΣΟΒΙΤΣΑ	
ΑΝΩΓΕΙΟΝ	Anogeio
ΑΝΩΠΟΛΙΣ ΠΕΔΙΑΔ	
ΑΠΙΔΕΩΝΑ	
ΑΠΟΣΤΟΛΟΙ ΠΕΔΙΑ	Apostoli Minoa Pediada
ΑΡΑΧΩΒΙΤΙΚΑ	Arachovitika
ΑΡΓ.ΠΗΓΑΔΙ	Argyro Pigadi
ΑΡΓΕΝΟΣ	
ΑΡΓΟΛΙΚΟΝ	Argoliko
ΑΡΓΥΡΙΑ ΜΑΚΡΑΚΩΜΗΣ	Argiria Makrakomi
ΑΡΓΥΡΙΟ	Argiri
ΑΡΓΥΡΟΜΥΛΟΙ	
ΑΡΓΥΡΟΝ	Argiro
ΑΡΓΥΡΟΠΟΥΛΕΙΟΝ	
ΑΡΓΥΡΟΠΟΥΛΗ	Argyropouli
ΑΡΔ/ΚΑ ΚΟΡΩΝΕΙΑΣ	
ΑΡΔ/ΚΑ ΛΙΒΑΔΕΙΑΣ	
ΑΡΔΑΜΕΡΙΟΝ	Ardameri
ΑΡΔΑΝΙΟ	Ardani
ΑΡΔΑΝΙΟΝ	Ardani
ΑΡΚΑΔΙΚΟΝ	Arkadiko
ΑΡΜΕΝΙΟΝ	Armenio
ΑΡΜΟΛΙΩΝ	Armolia
ΑΡΤΕΜΩΝ	Artemida
ΑΡΧ.ΚΛΕΩΝΑΙ	Archaies Kleones
ΑΡΧ.ΝΕΜΕΑ	Archaia Nemea
ΑΡΧ.ΟΛΥΜΠΙΑ	Archea Olimpia
ΑΡΧΙΛΟΧΟΣ	
ΑΡΩΝΙΟΝ	
ΑΣΒΕΣΤΗΣ	Asvesti
ΑΣΒΕΣΤΙΟΝ	Asvesti
ΑΣΓΟΥΡΟΥ	
ΑΣΗΜΙΟΝ	Asimi
ΑΣΚΗΤΑΙ	Askites
ΑΣΚΛΗΠΙΕΙΟ ΕΠΙΔ	Asklipieio Epidavros
ΑΣΚΛΗΠΙΕΙΟΝ	Asklipiio Rodos
ΑΣΜΗΝΙΟ	Asmini
ΑΣΜΗΝΙΟΝ	Asmini
ΑΣΠ ΣΑΜΟΥ	
ΑΣΠΡΟ	Aspro
ΑΣΠΡΟΒΑΛ	Asprovalta
ΑΣΠΡΟΚΚΛΗΣΙ ΗΓΟΥΜΕΝΙΤΣΑΣ	
ΑΣΠΡΟΝ	Aspro
ΑΣΤΡΟΣ  ΜΕΣΟΓΕΙΟ	
ΑΣΤΡΟΧΩΡΙΟΝ	
ΑΤΡΑΠΟΥ	Atrapos
ΑΥΓΩΝΥΜΩΝ	Avgonima
ΑΥΛΑΚΙΟΝ	Avlaki
ΑΦΙΑΡΤΗ ΜΕΝΕΤΤΕΣ	Afiarti
ΑΦΙΣΙΟΝ	Afisio
ΑΦΡΟΔΙΣΙΩΝ	Afrodisia
ΑΧΑΙΚΟΝ	Achaiko
ΑΧΛΑΔΕΑ ΗΓΟΥΜΕΝΙΤΣΑΣ	
ΑΧΛΑΔΕΑ ΙΩΑΝΝΙΝΩΝ	
ΑΧΛΑΔΕΑ ΦΘΙΩΤΙΔ	
ΒΑΒΥΛΩΝ	
ΒΑΓΓΟΥ	
ΒΑΓΙΟΧΩΡΙ	
ΒΑΓΙΩΝΙΑ	
ΒΑΛΑΝΙΔΟΡΑΧΗ	
ΒΑΛΑΝΙΔΟΥΣΑ	
ΒΑΛΕΡΙΑΝΟ	
ΒΑΛΜΑΤΟΥΡΑ	
ΒΑΜΒΑK/ΛΟ	
ΒΑΜΒΑΚΟΥΣΑ	
ΒΑΝΑΙΝΑ	
ΒΑΝΑΤΟΝ	
ΒΑΡΒΑΡΙΑΔΑ ΕΥΡΥΤΑΝΙΑΣ	
ΒΑΡΓΙΑΝΗΣ	
ΒΑΡΙΚΟΝ	Variko
ΒΑΣΙΛΑΚΙΟ	Vasilaki Chania
ΒΑΣΙΛΑΚΙΟΝ ΗΛΕΙ	Vasilaki Ilia
ΒΑΣΙΛΑΚΙΟΝ ΛΑΚΩ	Vasilaki Lakonia
ΒΑΣΙΛΕΙΑΙ	Vasilies
ΒΑΣΙΛΕΣΙ ΠΡΑΣΙΑΣ	Vasilesi
ΒΑΣΙΛΕΩΝΙΚΟΥ	Vasileoniko
ΒΑΣΙΛΙΚΟΝ ΚΟΡΙΝ	
ΒΑΣΚΙΝΑ	
ΒΑΣΚΙΝΑΣ	
ΒΑΤΕΡΟΝ	Vatero
ΒΑΤΟΥΣΑ	
ΒΑΤΩΝΤΑ	
ΒΑΤΩΝΤΑΣ	
ΒΑΦΕΙΟΧΩΡΙΟΝ	
ΒΕΛΑΝΙΔΙΟΝ	
ΒΕΛΒΙΤΣΙ	
ΒΕΛΗΜΑΧΙΟΥ	Velimachi
ΒΕΛΙΤΣΑΙ	Velitses
ΒΕΛΟΝ	Velo
ΒΕΝΑ	
ΒΕΡΒΕΡΑΤΟΥ	Ververato
ΒΕΡΔΙΚΟΥΣΙΑ	
ΒΕΡΝΑΔΕΙΚΑ	
ΒΕΡΝΑΡΔΕΙΚΑ	Vernardaki
ΒΕΣΣΑΣ	Vessa
ΒΕΤΕΙΚΑ	
ΒΙ.ΠΕ ΒΕΛΕΣΤΙΝΟΥ	
ΒΙ.ΠΕ ΒΟΛΟΥ	
ΒΙ.ΠΕ.Θ	
ΒΙΚΙΟΥ	Viki
ΒΙΟΠΑΘ	
ΒΙΠΕΗ	
ΒΙΤΑΛΟ	Vitali
ΒΙΤΩΛΗ	
ΒΛΑΧΙΩΤΗ	
ΒΛΑΧΟΡΑΠΤΗ	
ΒΛΥΖΑΝΑ	
ΒΛΥΖΑΝΆ	
ΒΟΙΛΑΔΑ ΕΥΡΥΤΑΝΙΑΣ	
ΒΟΛΙΜΑΙ	Volimes
ΒΟΡΙΤΣΙ	
ΒΟΥΒΑΙ	
ΒΟΥΝΑΡΟΣ	Vounargo
ΒΟΥΝΟΝ	Vouno
ΒΟΥΡΒΟΥΛΟ	
ΒΟΥΡΛΙΩΤΑΙ	Vourliotes
ΒΟΥΡΝΙΚΑ	Vournikas
ΒΟΥΣΤΡΙ	
ΒΟΥΤΑΙ	Voutes
ΒΡΑΣΤΑ	
ΒΡΑΧΝΕΙΚΑ	
ΒΡΕΣΤΟΝ	Vresto
ΒΡΟΝΤΑΔΕΣ	
ΒΡΟΝΤΕΡΟΝ	Vrontero
ΒΡΟΥΣΤΙΟΥ	
ΒΡΟΥΤΣΗ	Vrousti
ΒΡΥΣΑΙ ΚΥΔΩΝΙΑΣ	Vryses Chania
ΒΡΥΣΕΣ ΑΠΌ	Vrisi Orfano
ΒΥΖΙΚΙΟΝ	Viziki
ΒΥΖΙΤΖΑ	Vizitsa
ΒΥΣΙΝΙΑ	
ΒΥΤΟΥΜΑΣ	
ΒΩΛΑΞ	Volakas
ΓΑΖΙΟΝ	Gazi
ΓΑΛΑΡΙΝΟΥ	
ΓΑΛΑΡΟΝ	Galaro
ΓΑΛΑΤΑΣ ΤΡΟΙΖΗΝ	Galatas Trizinia
ΓΑΡΔΙΚΙΟΝ ΦΘΙΩΤ	Gardiki Fthiotida
ΓΑΡΕΦΕΙΟΝ	Garefio
ΓΑΡΕΦΙ	
ΓΕΡΑΝΙΟΝ ΚΥΔΩΝΙ	
ΓΕΡΟΠΛΑΤΑΝΟΣ ΚΟΝΙΤΣΑΣ	
